kode_prompt,video,varian,penilai,kategori_penilai,skor_clarity,skor_structure,skor_creativity,skor_completeness
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI3,Ahli_AI,8.25,7.25,9.75,8.50
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI4,Ahli_AI,7.50,7.75,9.25,8.00
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI5,Ahli_AI,8.00,7.00,9.00,7.75
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI6,Ahli_AI,7.75,7.50,9.50,8.00
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI7,Ahli_AI,8.25,7.25,9.75,8.50
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI8,Ahli_AI,7.50,7.50,9.25,8.00
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI9,Ahli_AI,8.00,7.00,9.00,7.75
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI10,Ahli_AI,7.75,7.75,9.50,8.25
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI11,Ahli_AI,8.25,7.25,9.75,8.50
L3_V13,Kaidah Kebahasaan Teks Berita,Visual,AI12,Ahli_AI,7.50,7.50,9.25,8.00
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru1,Guru_Bahasa,7.50,7.00,8.00,7.00
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru2,Guru_Bahasa,7.75,7.25,8.25,7.25
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru3,Guru_Bahasa,7.25,6.75,7.75,6.75
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru4,Guru_Bahasa,7.00,7.00,8.00,7.00
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru5,Guru_Bahasa,7.50,6.50,7.50,6.50
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru6,Guru_Bahasa,7.75,7.25,8.25,7.25
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru7,Guru_Bahasa,7.25,6.75,7.75,6.75
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru8,Guru_Bahasa,7.00,7.00,8.00,7.00
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,Guru9,Guru_Bahasa,7.50,6.50,7.50,6.50
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI1,Ahli_AI,8.00,7.00,8.50,7.50
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI2,Ahli_AI,7.75,7.25,8.25,7.75
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI3,Ahli_AI,8.25,6.75,8.75,8.00
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI4,Ahli_AI,7.50,7.25,8.25,7.75
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI5,Ahli_AI,8.00,6.50,8.00,7.25
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI6,Ahli_AI,7.75,7.00,8.50,7.50
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI7,Ahli_AI,8.25,6.75,8.75,8.00
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI8,Ahli_AI,7.50,7.25,8.25,7.75
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI9,Ahli_AI,8.00,6.50,8.00,7.25
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI10,Ahli_AI,7.75,7.00,8.50,7.50
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI11,Ahli_AI,8.25,6.75,8.75,8.00
L3_V14,Kaidah Kebahasaan Teks Berita,Interaktif,AI12,Ahli_AI,7.50,7.25,8.25,7.75
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru1,Guru_Bahasa,7.50,8.00,7.50,8.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru2,Guru_Bahasa,7.75,7.75,7.75,8.25
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru3,Guru_Bahasa,7.25,8.25,7.25,7.75
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru4,Guru_Bahasa,7.00,8.00,7.50,8.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru5,Guru_Bahasa,7.50,7.50,7.00,7.50
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru6,Guru_Bahasa,7.75,7.75,7.75,8.25
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru7,Guru_Bahasa,7.25,8.25,7.25,7.75
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru8,Guru_Bahasa,7.00,8.00,7.50,8.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,Guru9,Guru_Bahasa,7.50,7.50,7.00,7.50
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI1,Ahli_AI,8.00,8.50,8.00,8.50
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI2,Ahli_AI,7.75,8.25,8.25,8.75
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI3,Ahli_AI,8.25,8.75,7.75,9.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI4,Ahli_AI,7.50,8.25,8.00,8.50
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI5,Ahli_AI,8.00,8.00,7.50,8.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI6,Ahli_AI,7.75,8.50,8.25,8.50
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI7,Ahli_AI,8.25,8.75,7.75,9.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI8,Ahli_AI,7.50,8.25,8.00,8.50
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI9,Ahli_AI,8.00,8.00,7.50,8.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI10,Ahli_AI,7.75,8.50,8.25,8.50
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI11,Ahli_AI,8.25,8.75,7.75,9.00
L3_V15,Kaidah Kebahasaan Teks Berita,Analitis,AI12,Ahli_AI,7.50,8.25,8.00,8.50
L4_V1,Pengenalan Cerpen,Teori,Guru1,Guru_Bahasa,8.50,8.50,7.00,8.00
L4_V1,Pengenalan Cerpen,Teori,Guru2,Guru_Bahasa,8.75,8.25,7.25,8.25
L4_V1,Pengenalan Cerpen,Teori,Guru3,Guru_Bahasa,8.25,8.75,6.75,7.75
L4_V1,Pengenalan Cerpen,Teori,Guru4,Guru_Bahasa,8.00,8.50,7.00,8.00
L4_V1,Pengenalan Cerpen,Teori,Guru5,Guru_Bahasa,8.50,8.00,6.50,7.50
L4_V1,Pengenalan Cerpen,Teori,Guru6,Guru_Bahasa,8.75,8.25,7.25,8.25
L4_V1,Pengenalan Cerpen,Teori,Guru7,Guru_Bahasa,8.25,8.75,6.75,7.75
L4_V1,Pengenalan Cerpen,Teori,Guru8,Guru_Bahasa,8.00,8.50,7.00,8.00
L4_V1,Pengenalan Cerpen,Teori,Guru9,Guru_Bahasa,8.50,8.00,6.50,7.50
L4_V1,Pengenalan Cerpen,Teori,AI1,Ahli_AI,9.00,8.50,7.50,8.50
L4_V1,Pengenalan Cerpen,Teori,AI2,Ahli_AI,8.75,8.75,7.75,8.75
L4_V1,Pengenalan Cerpen,Teori,AI3,Ahli_AI,9.25,8.50,7.25,9.00
L4_V1,Pengenalan Cerpen,Teori,AI4,Ahli_AI,8.50,8.75,7.50,8.50
L4_V1,Pengenalan Cerpen,Teori,AI5,Ahli_AI,9.00,8.25,7.00,8.25
L4_V1,Pengenalan Cerpen,Teori,AI6,Ahli_AI,8.75,8.50,7.75,8.75
L4_V1,Pengenalan Cerpen,Teori,AI7,Ahli_AI,9.25,8.75,7.25,9.00
L4_V1,Pengenalan Cerpen,Teori,AI8,Ahli_AI,8.50,8.50,7.50,8.50
L4_V1,Pengenalan Cerpen,Teori,AI9,Ahli_AI,9.00,8.25,7.00,8.25
L4_V1,Pengenalan Cerpen,Teori,AI10,Ahli_AI,8.75,8.75,7.75,8.75
L4_V1,Pengenalan Cerpen,Teori,AI11,Ahli_AI,9.25,8.50,7.25,9.00
L4_V1,Pengenalan Cerpen,Teori,AI12,Ahli_AI,8.50,8.75,7.50,8.50
L4_V2,Pengenalan Cerpen,Aplikasi,Guru1,Guru_Bahasa,8.50,8.00,8.50,8.50
L4_V2,Pengenalan Cerpen,Aplikasi,Guru2,Guru_Bahasa,8.75,8.25,8.75,8.75
L4_V2,Pengenalan Cerpen,Aplikasi,Guru3,Guru_Bahasa,8.25,7.75,8.25,8.25
L4_V2,Pengenalan Cerpen,Aplikasi,Guru4,Guru_Bahasa,8.00,8.00,8.50,8.50
L4_V2,Pengenalan Cerpen,Aplikasi,Guru5,Guru_Bahasa,8.50,7.50,8.00,8.00
L4_V2,Pengenalan Cerpen,Aplikasi,Guru6,Guru_Bahasa,8.75,8.25,8.75,8.75
L4_V2,Pengenalan Cerpen,Aplikasi,Guru7,Guru_Bahasa,8.25,7.75,8.25,8.25
L4_V2,Pengenalan Cerpen,Aplikasi,Guru8,Guru_Bahasa,8.00,8.00,8.50,8.50
L4_V2,Pengenalan Cerpen,Aplikasi,Guru9,Guru_Bahasa,8.50,7.50,8.00,8.00
L4_V2,Pengenalan Cerpen,Aplikasi,AI1,Ahli_AI,9.00,8.50,9.00,9.00
L4_V2,Pengenalan Cerpen,Aplikasi,AI2,Ahli_AI,8.75,8.75,8.75,8.75
L4_V2,Pengenalan Cerpen,Aplikasi,AI3,Ahli_AI,9.25,8.25,9.25,9.25
L4_V2,Pengenalan Cerpen,Aplikasi,AI4,Ahli_AI,8.50,8.75,8.75,8.75
L4_V2,Pengenalan Cerpen,Aplikasi,AI5,Ahli_AI,9.00,8.00,8.50,8.50
L4_V2,Pengenalan Cerpen,Aplikasi,AI6,Ahli_AI,8.75,8.50,9.00,9.00
L4_V2,Pengenalan Cerpen,Aplikasi,AI7,Ahli_AI,9.25,8.25,9.25,9.25
L4_V2,Pengenalan Cerpen,Aplikasi,AI8,Ahli_AI,8.50,8.75,8.75,8.75
L4_V2,Pengenalan Cerpen,Aplikasi,AI9,Ahli_AI,9.00,8.00,8.50,8.50
L4_V2,Pengenalan Cerpen,Aplikasi,AI10,Ahli_AI,8.75,8.50,9.00,9.00
L4_V2,Pengenalan Cerpen,Aplikasi,AI11,Ahli_AI,9.25,8.25,9.25,9.25
L4_V2,Pengenalan Cerpen,Aplikasi,AI12,Ahli_AI,8.50,8.75,8.75,8.75
L4_V3,Pengenalan Cerpen,Visual,Guru1,Guru_Bahasa,7.50,7.50,9.00,8.00
L4_V3,Pengenalan Cerpen,Visual,Guru2,Guru_Bahasa,7.75,7.25,8.75,8.25
L4_V3,Pengenalan Cerpen,Visual,Guru3,Guru_Bahasa,7.25,7.75,9.25,7.75
L4_V3,Pengenalan Cerpen,Visual,Guru4,Guru_Bahasa,7.00,7.50,9.00,8.00
L4_V3,Pengenalan Cerpen,Visual,Guru5,Guru_Bahasa,7.50,7.00,8.50,7.50
L4_V3,Pengenalan Cerpen,Visual,Guru6,Guru_Bahasa,7.75,7.25,8.75,8.25
L4_V3,Pengenalan Cerpen,Visual,Guru7,Guru_Bahasa,7.25,7.75,9.25,7.75
L4_V3,Pengenalan Cerpen,Visual,Guru8,Guru_Bahasa,7.00,7.50,9.00,8.00
L4_V3,Pengenalan Cerpen,Visual,Guru9,Guru_Bahasa,7.50,7.00,8.50,7.50
L4_V3,Pengenalan Cerpen,Visual,AI1,Ahli_AI,8.00,7.50,9.50,8.50
L4_V3,Pengenalan Cerpen,Visual,AI2,Ahli_AI,7.75,7.75,9.25,8.75
L4_V3,Pengenalan Cerpen,Visual,AI3,Ahli_AI,8.25,7.25,9.75,9.00
L4_V3,Pengenalan Cerpen,Visual,AI4,Ahli_AI,7.50,7.75,9.25,8.50
L4_V3,Pengenalan Cerpen,Visual,AI5,Ahli_AI,8.00,7.00,9.00,8.00
L4_V3,Pengenalan Cerpen,Visual,AI6,Ahli_AI,7.75,7.50,9.50,8.50
L4_V3,Pengenalan Cerpen,Visual,AI7,Ahli_AI,8.25,7.25,9.75,9.00
L4_V3,Pengenalan Cerpen,Visual,AI8,Ahli_AI,7.50,7.50,9.25,8.50
L4_V3,Pengenalan Cerpen,Visual,AI9,Ahli_AI,8.00,7.00,9.00,8.00
L4_V3,Pengenalan Cerpen,Visual,AI10,Ahli_AI,7.75,7.75,9.50,8.50
L4_V3,Pengenalan Cerpen,Visual,AI11,Ahli_AI,8.25,7.25,9.75,9.00
L4_V3,Pengenalan Cerpen,Visual,AI12,Ahli_AI,7.50,7.50,9.25,8.50
L4_V4,Pengenalan Cerpen,Interaktif,Guru1,Guru_Bahasa,8.00,7.50,8.50,7.50
L4_V4,Pengenalan Cerpen,Interaktif,Guru2,Guru_Bahasa,8.25,7.75,8.75,7.75
L4_V4,Pengenalan Cerpen,Interaktif,Guru3,Guru_Bahasa,7.75,7.25,8.25,7.25
L4_V4,Pengenalan Cerpen,Interaktif,Guru4,Guru_Bahasa,7.50,7.50,8.50,7.50
L4_V4,Pengenalan Cerpen,Interaktif,Guru5,Guru_Bahasa,8.00,7.00,8.00,7.00
L4_V4,Pengenalan Cerpen,Interaktif,Guru6,Guru_Bahasa,8.25,7.75,8.75,7.75
L4_V4,Pengenalan Cerpen,Interaktif,Guru7,Guru_Bahasa,7.75,7.25,8.25,7.25
L4_V4,Pengenalan Cerpen,Interaktif,Guru8,Guru_Bahasa,7.50,7.50,8.50,7.50
L4_V4,Pengenalan Cerpen,Interaktif,Guru9,Guru_Bahasa,8.00,7.00,8.00,7.00
L4_V4,Pengenalan Cerpen,Interaktif,AI1,Ahli_AI,8.50,7.50,9.00,8.00
L4_V4,Pengenalan Cerpen,Interaktif,AI2,Ahli_AI,8.25,7.75,8.75,8.25
L4_V4,Pengenalan Cerpen,Interaktif,AI3,Ahli_AI,8.75,7.25,9.25,8.50
L4_V4,Pengenalan Cerpen,Interaktif,AI4,Ahli_AI,8.00,7.75,8.75,8.00
L4_V4,Pengenalan Cerpen,Interaktif,AI5,Ahli_AI,8.50,7.00,8.50,7.50
L4_V4,Pengenalan Cerpen,Interaktif,AI6,Ahli_AI,8.25,7.50,9.00,8.00
L4_V4,Pengenalan Cerpen,Interaktif,AI7,Ahli_AI,8.75,7.25,9.25,8.50
L4_V4,Pengenalan Cerpen,Interaktif,AI8,Ahli_AI,8.00,7.50,8.75,8.00
L4_V4,Pengenalan Cerpen,Interaktif,AI9,Ahli_AI,8.50,7.00,8.50,7.50
L4_V4,Pengenalan Cerpen,Interaktif,AI10,Ahli_AI,8.25,7.75,9.00,8.00
L4_V4,Pengenalan Cerpen,Interaktif,AI11,Ahli_AI,8.75,7.25,9.25,8.50
L4_V4,Pengenalan Cerpen,Interaktif,AI12,Ahli_AI,8.00,7.50,8.75,8.00
L4_V5,Pengenalan Cerpen,Analitis,Guru1,Guru_Bahasa,8.00,8.00,7.50,8.50
L4_V5,Pengenalan Cerpen,Analitis,Guru2,Guru_Bahasa,8.25,7.75,7.75,8.75
L4_V5,Pengenalan Cerpen,Analitis,Guru3,Guru_Bahasa,7.75,8.25,7.25,8.25
L4_V5,Pengenalan Cerpen,Analitis,Guru4,Guru_Bahasa,7.50,8.00,7.50,8.50
L4_V5,Pengenalan Cerpen,Analitis,Guru5,Guru_Bahasa,8.00,7.50,7.00,8.00
L4_V5,Pengenalan Cerpen,Analitis,Guru6,Guru_Bahasa,8.25,7.75,7.75,8.75
L4_V5,Pengenalan Cerpen,Analitis,Guru7,Guru_Bahasa,7.75,8.25,7.25,8.25
L4_V5,Pengenalan Cerpen,Analitis,Guru8,Guru_Bahasa,7.50,8.00,7.50,8.50
L4_V5,Pengenalan Cerpen,Analitis,Guru9,Guru_Bahasa,8.00,7.50,7.00,8.00
L4_V5,Pengenalan Cerpen,Analitis,AI1,Ahli_AI,8.50,8.50,8.00,9.00
L4_V5,Pengenalan Cerpen,Analitis,AI2,Ahli_AI,8.25,8.25,8.25,8.75
L4_V5,Pengenalan Cerpen,Analitis,AI3,Ahli_AI,8.75,8.75,7.75,9.25
L4_V5,Pengenalan Cerpen,Analitis,AI4,Ahli_AI,8.00,8.25,8.00,8.75
L4_V5,Pengenalan Cerpen,Analitis,AI5,Ahli_AI,8.50,8.00,7.50,8.50
L4_V5,Pengenalan Cerpen,Analitis,AI6,Ahli_AI,8.25,8.50,8.25,9.00
L4_V5,Pengenalan Cerpen,Analitis,AI7,Ahli_AI,8.75,8.75,7.75,9.25
L4_V5,Pengenalan Cerpen,Analitis,AI8,Ahli_AI,8.00,8.25,8.00,8.75
L4_V5,Pengenalan Cerpen,Analitis,AI9,Ahli_AI,8.50,8.00,7.50,8.50
L4_V5,Pengenalan Cerpen,Analitis,AI10,Ahli_AI,8.25,8.50,8.25,9.00
L4_V5,Pengenalan Cerpen,Analitis,AI11,Ahli_AI,8.75,8.75,7.75,9.25
L4_V5,Pengenalan Cerpen,Analitis,AI12,Ahli_AI,8.00,8.25,8.00,8.75
L4_V6,Struktur Cerpen,Teori,Guru1,Guru_Bahasa,8.50,9.00,7.00,8.00
L4_V6,Struktur Cerpen,Teori,Guru2,Guru_Bahasa,8.75,8.75,7.25,8.25
L4_V6,Struktur Cerpen,Teori,Guru3,Guru_Bahasa,8.25,9.25,6.75,7.75
L4_V6,Struktur Cerpen,Teori,Guru4,Guru_Bahasa,8.00,9.00,7.00,8.00
L4_V6,Struktur Cerpen,Teori,Guru5,Guru_Bahasa,8.50,8.50,6.50,7.50
L4_V6,Struktur Cerpen,Teori,Guru6,Guru_Bahasa,8.75,8.75,7.25,8.25
L4_V6,Struktur Cerpen,Teori,Guru7,Guru_Bahasa,8.25,9.25,6.75,7.75
L4_V6,Struktur Cerpen,Teori,Guru8,Guru_Bahasa,8.00,9.00,7.00,8.00
L4_V6,Struktur Cerpen,Teori,Guru9,Guru_Bahasa,8.50,8.50,6.50,7.50
L4_V6,Struktur Cerpen,Teori,AI1,Ahli_AI,9.00,9.50,7.50,8.50
L4_V6,Struktur Cerpen,Teori,AI2,Ahli_AI,8.75,9.25,7.75,8.75
L4_V6,Struktur Cerpen,Teori,AI3,Ahli_AI,9.25,9.75,7.25,9.00
L4_V6,Struktur Cerpen,Teori,AI4,Ahli_AI,8.50,9.25,7.50,8.50
L4_V6,Struktur Cerpen,Teori,AI5,Ahli_AI,9.00,9.00,7.00,8.25
L4_V6,Struktur Cerpen,Teori,AI6,Ahli_AI,8.75,9.50,7.75,8.75
L4_V6,Struktur Cerpen,Teori,AI7,Ahli_AI,9.25,9.75,7.25,9.00
L4_V6,Struktur Cerpen,Teori,AI8,Ahli_AI,8.50,9.25,7.50,8.50
L4_V6,Struktur Cerpen,Teori,AI9,Ahli_AI,9.00,9.00,7.00,8.25
L4_V6,Struktur Cerpen,Teori,AI10,Ahli_AI,8.75,9.50,7.75,8.75
L4_V6,Struktur Cerpen,Teori,AI11,Ahli_AI,9.25,9.75,7.25,9.00
L4_V6,Struktur Cerpen,Teori,AI12,Ahli_AI,8.50,9.25,7.50,8.50
L4_V7,Struktur Cerpen,Aplikasi,Guru1,Guru_Bahasa,8.50,8.00,8.50,8.50
L4_V7,Struktur Cerpen,Aplikasi,Guru2,Guru_Bahasa,8.75,8.25,8.75,8.75
L4_V7,Struktur Cerpen,Aplikasi,Guru3,Guru_Bahasa,8.25,7.75,8.25,8.25
L4_V7,Struktur Cerpen,Aplikasi,Guru4,Guru_Bahasa,8.00,8.00,8.50,8.50
L4_V7,Struktur Cerpen,Aplikasi,Guru5,Guru_Bahasa,8.50,7.50,8.00,8.00
L4_V7,Struktur Cerpen,Aplikasi,Guru6,Guru_Bahasa,8.75,8.25,8.75,8.75
L4_V7,Struktur Cerpen,Aplikasi,Guru7,Guru_Bahasa,8.25,7.75,8.25,8.25
L4_V7,Struktur Cerpen,Aplikasi,Guru8,Guru_Bahasa,8.00,8.00,8.50,8.50
L4_V7,Struktur Cerpen,Aplikasi,Guru9,Guru_Bahasa,8.50,7.50,8.00,8.00
L4_V7,Struktur Cerpen,Aplikasi,AI1,Ahli_AI,9.00,8.50,9.00,9.00
L4_V7,Struktur Cerpen,Aplikasi,AI2,Ahli_AI,8.75,8.75,8.75,8.75
L4_V7,Struktur Cerpen,Aplikasi,AI3,Ahli_AI,9.25,8.25,9.25,9.25
L4_V7,Struktur Cerpen,Aplikasi,AI4,Ahli_AI,8.50,8.75,8.75,8.75
L4_V7,Struktur Cerpen,Aplikasi,AI5,Ahli_AI,9.00,8.00,8.50,8.50
L4_V7,Struktur Cerpen,Aplikasi,AI6,Ahli_AI,8.75,8.50,9.00,9.00
L4_V7,Struktur Cerpen,Aplikasi,AI7,Ahli_AI,9.25,8.25,9.25,9.25
L4_V7,Struktur Cerpen,Aplikasi,AI8,Ahli_AI,8.50,8.75,8.75,8.75
L4_V7,Struktur Cerpen,Aplikasi,AI9,Ahli_AI,9.00,8.00,8.50,8.50
L4_V7,Struktur Cerpen,Aplikasi,AI10,Ahli_AI,8.75,8.50,9.00,9.00
L4_V7,Struktur Cerpen,Aplikasi,AI11,Ahli_AI,9.25,8.25,9.25,9.25
L4_V7,Struktur Cerpen,Aplikasi,AI12,Ahli_AI,8.50,8.75,8.75,8.75
L4_V8,Struktur Cerpen,Visual,Guru1,Guru_Bahasa,7.50,7.50,9.00,8.00
L4_V8,Struktur Cerpen,Visual,Guru2,Guru_Bahasa,7.75,7.25,8.75,8.25
L4_V8,Struktur Cerpen,Visual,Guru3,Guru_Bahasa,7.25,7.75,9.25,7.75
L4_V8,Struktur Cerpen,Visual,Guru4,Guru_Bahasa,7.00,7.50,9.00,8.00
L4_V8,Struktur Cerpen,Visual,Guru5,Guru_Bahasa,7.50,7.00,8.50,7.50
L4_V8,Struktur Cerpen,Visual,Guru6,Guru_Bahasa,7.75,7.25,8.75,8.25
L4_V8,Struktur Cerpen,Visual,Guru7,Guru_Bahasa,7.25,7.75,9.25,7.75
L4_V8,Struktur Cerpen,Visual,Guru8,Guru_Bahasa,7.00,7.50,9.00,8.00
L4_V8,Struktur Cerpen,Visual,Guru9,Guru_Bahasa,7.50,7.00,8.50,7.50
L4_V8,Struktur Cerpen,Visual,AI1,Ahli_AI,8.00,7.50,9.50,8.50
L4_V8,Struktur Cerpen,Visual,AI2,Ahli_AI,7.75,7.75,9.25,8.75
L4_V8,Struktur Cerpen,Visual,AI3,Ahli_AI,8.25,7.25,9.75,9.00
L4_V8,Struktur Cerpen,Visual,AI4,Ahli_AI,7.50,7.75,9.25,8.50
L4_V8,Struktur Cerpen,Visual,AI5,Ahli_AI,8.00,7.00,9.00,8.00
L4_V8,Struktur Cerpen,Visual,AI6,Ahli_AI,7.75,7.50,9.50,8.50
L4_V8,Struktur Cerpen,Visual,AI7,Ahli_AI,8.25,7.25,9.75,9.00
L4_V8,Struktur Cerpen,Visual,AI8,Ahli_AI,7.50,7.50,9.25,8.50
L4_V8,Struktur Cerpen,Visual,AI9,Ahli_AI,8.00,7.00,9.00,8.00
L4_V8,Struktur Cerpen,Visual,AI10,Ahli_AI,7.75,7.75,9.50,8.50
L4_V8,Struktur Cerpen,Visual,AI11,Ahli_AI,8.25,7.25,9.75,9.00
L4_V8,Struktur Cerpen,Visual,AI12,Ahli_AI,7.50,7.50,9.25,8.50
L4_V9,Struktur Cerpen,Interaktif,Guru1,Guru_Bahasa,7.50,7.00,8.00,7.00
L4_V9,Struktur Cerpen,Interaktif,Guru2,Guru_Bahasa,7.75,7.25,8.25,7.25
L4_V9,Struktur Cerpen,Interaktif,Guru3,Guru_Bahasa,7.25,6.75,7.75,6.75
L4_V9,Struktur Cerpen,Interaktif,Guru4,Guru_Bahasa,7.00,7.00,8.00,7.00
L4_V9,Struktur Cerpen,Interaktif,Guru5,Guru_Bahasa,7.50,6.50,7.50,6.50
L4_V9,Struktur Cerpen,Interaktif,Guru6,Guru_Bahasa,7.75,7.25,8.25,7.25
L4_V9,Struktur Cerpen,Interaktif,Guru7,Guru_Bahasa,7.25,6.75,7.75,6.75
L4_V9,Struktur Cerpen,Interaktif,Guru8,Guru_Bahasa,7.00,7.00,8.00,7.00
L4_V9,Struktur Cerpen,Interaktif,Guru9,Guru_Bahasa,7.50,6.50,7.50,6.50
L4_V9,Struktur Cerpen,Interaktif,AI1,Ahli_AI,8.00,7.00,8.50,7.50
L4_V9,Struktur Cerpen,Interaktif,AI2,Ahli_AI,7.75,7.25,8.25,7.75
L4_V9,Struktur Cerpen,Interaktif,AI3,Ahli_AI,8.25,6.75,8.75,8.00
L4_V9,Struktur Cerpen,Interaktif,AI4,Ahli_AI,7.50,7.25,8.25,7.75
L4_V9,Struktur Cerpen,Interaktif,AI5,Ahli_AI,8.00,6.50,8.00,7.25
L4_V9,Struktur Cerpen,Interaktif,AI6,Ahli_AI,7.75,7.00,8.50,7.50
L4_V9,Struktur Cerpen,Interaktif,AI7,Ahli_AI,8.25,6.75,8.75,8.00
L4_V9,Struktur Cerpen,Interaktif,AI8,Ahli_AI,7.50,7.25,8.25,7.75
L4_V9,Struktur Cerpen,Interaktif,AI9,Ahli_AI,8.00,6.50,8.00,7.25
L4_V9,Struktur Cerpen,Interaktif,AI10,Ahli_AI,7.75,7.00,8.50,7.50
L4_V9,Struktur Cerpen,Interaktif,AI11,Ahli_AI,8.25,6.75,8.75,8.00
L4_V9,Struktur Cerpen,Interaktif,AI12,Ahli_AI,7.50,7.25,8.25,7.75
L4_V10,Struktur Cerpen,Analitis,Guru1,Guru_Bahasa,8.00,8.50,7.50,8.50
L4_V10,Struktur Cerpen,Analitis,Guru2,Guru_Bahasa,8.25,8.25,7.75,8.75
L4_V10,Struktur Cerpen,Analitis,Guru3,Guru_Bahasa,7.75,8.75,7.25,8.25
L4_V10,Struktur Cerpen,Analitis,Guru4,Guru_Bahasa,7.50,8.50,7.50,8.50
L4_V10,Struktur Cerpen,Analitis,Guru5,Guru_Bahasa,8.00,8.00,7.00,8.00
L4_V10,Struktur Cerpen,Analitis,Guru6,Guru_Bahasa,8.25,8.25,7.75,8.75
L4_V10,Struktur Cerpen,Analitis,Guru7,Guru_Bahasa,7.75,8.75,7.25,8.25
L4_V10,Struktur Cerpen,Analitis,Guru8,Guru_Bahasa,7.50,8.50,7.50,8.50
L4_V10,Struktur Cerpen,Analitis,Guru9,Guru_Bahasa,8.00,8.00,7.00,8.00
L4_V10,Struktur Cerpen,Analitis,AI1,Ahli_AI,8.50,9.00,8.00,9.00
L4_V10,Struktur Cerpen,Analitis,AI2,Ahli_AI,8.25,8.75,8.25,8.75
L4_V10,Struktur Cerpen,Analitis,AI3,Ahli_AI,8.75,9.25,7.75,9.25
L4_V10,Struktur Cerpen,Analitis,AI4,Ahli_AI,8.00,8.75,8.00,8.75
L4_V10,Struktur Cerpen,Analitis,AI5,Ahli_AI,8.50,8.50,7.50,8.50
L4_V10,Struktur Cerpen,Analitis,AI6,Ahli_AI,8.25,9.00,8.25,9.00
L4_V10,Struktur Cerpen,Analitis,AI7,Ahli_AI,8.75,9.25,7.75,9.25
L4_V10,Struktur Cerpen,Analitis,AI8,Ahli_AI,8.00,8.75,8.00,8.75
L4_V10,Struktur Cerpen,Analitis,AI9,Ahli_AI,8.50,8.50,7.50,8.50
L4_V10,Struktur Cerpen,Analitis,AI10,Ahli_AI,8.25,9.00,8.25,9.00
L4_V10,Struktur Cerpen,Analitis,AI11,Ahli_AI,8.75,9.25,7.75,9.25
L4_V10,Struktur Cerpen,Analitis,AI12,Ahli_AI,8.00,8.75,8.00,8.75
L4_V11,Unsur-Unsur Cerpen,Teori,Guru1,Guru_Bahasa,8.50,8.50,7.00,8.00
